file,status,surface_id,grammar,notes,lighting,angle_deg,distance,medium,printer,paper,image_shape,top_sheet,top_aggregate,target_sheet,verdict,aggregate,coverage,renormalised,agr_cascade_ratio,agr_duty,agr_phase_duty_identity,agr_colour_pair,ink_agreement_absolute,ink_agreement_relationship,ink_mean_delta_e_absolute,ink_mean_delta_e_relationship,ink_correction_gain_b,ink_correction_gain_g,ink_correction_gain_r,ink_implied_applied_gain_b,ink_implied_applied_gain_g,ink_implied_applied_gain_r,ink_gain_in_bounds,ink_relationship_applicable,ink_n_inks,ink_n_clipped_inks,ink_gain_fallback_channels,ink_rank_correlation,error
IMG_2263.jpg,ok,001-s0,bar-cascade-001,"Apple Studio Display, TrueTone on, brightness 100%, dark room with warm lamp; framing estimated from image",normal_room,0,fills_frame,screen,none,screen,5712x4284x3,bar-cascade-001,0.3143,bar-cascade-001,not_recognised,0.3143,1.0,0.3143,0.9804,0.0,0.0,0.3305,0.0,0.3305,,6.845,1.1041,0.8905,0.6546,0.9057,1.123,1.5277,True,True,2,0,,,
IMG_2264.jpg,ok,001-s0,bar-cascade-001,"Apple Studio Display, TrueTone on, brightness 100%, dark room with warm lamp; framing estimated from image",normal_room,30,fills_frame,screen,none,screen,5712x4284x3,bar-cascade-001,0.0411,bar-cascade-001,not_recognised,0.0411,1.0,0.0411,0.0,0.0,0.0,0.257,0.0,0.257,,9.883,0.9676,0.9962,0.6267,1.0334,1.0038,1.5957,True,True,2,0,,,
IMG_2265.jpg,ok,001-s0,bar-cascade-001,"Apple Studio Display, TrueTone on, brightness 100%, dark room with warm lamp; framing estimated from image",normal_room,30,far_2m,screen,none,screen,5712x4284x3,bar-cascade-001,0.3699,bar-cascade-001,not_recognised,0.3699,1.0,0.3699,0.7061,0.0,0.6809,0.0,0.0,0.0,,20.839,1.0616,0.714,0.5688,0.942,1.4006,1.758,False,False,2,0,,,
IMG_2266.jpg,ok,001-s0,bar-cascade-001,"Apple Studio Display, TrueTone on, brightness 100%, dark room with warm lamp; framing estimated from image",normal_room,60,fills_frame,screen,none,screen,5712x4284x3,bar-cascade-001,0.1468,bar-cascade-001,not_recognised,0.1468,1.0,0.1468,0.5384,0.0,0.0,0.0,0.0,0.0,,7.559,0.8606,0.7717,0.5369,1.162,1.2958,1.8624,False,False,2,0,,,
IMG_2267.jpg,ok,001-s0,bar-cascade-001,"Apple Studio Display, TrueTone on, brightness 75%, dark room with warm lamp; framing estimated from image",normal_room,0,fills_frame,screen,none,screen,5712x4284x3,iso-002,0.0772,bar-cascade-001,not_recognised,0.0532,1.0,0.0532,0.1994,0.0,0.0,0.0,0.0,0.0,,14.043,0.8379,0.7905,0.522,1.1934,1.265,1.9156,False,False,2,0,,,
IMG_2268.jpg,ok,001-s0,bar-cascade-001,"Apple Studio Display, TrueTone on, brightness 75%, dark room with warm lamp; framing estimated from image",normal_room,30,fills_frame,screen,none,screen,5712x4284x3,bar-cascade-001,0.3482,bar-cascade-001,not_recognised,0.3482,1.0,0.3482,0.8248,0.6542,0.0,0.0,0.0,0.0,,4.569,0.947,0.8071,0.5913,1.056,1.239,1.6913,False,False,2,0,,,
IMG_2269.jpg,ok,001-s0,bar-cascade-001,"Apple Studio Display, TrueTone on, brightness 75%, dark room with warm lamp; framing estimated from image",normal_room,30,far_2m,screen,none,screen,5712x4284x3,bar-cascade-001,0.0469,bar-cascade-001,not_recognised,0.0469,1.0,0.0469,0.0,0.0,0.0,0.2931,0.0,0.2931,,9.97,0.9974,0.9871,0.6088,1.0026,1.0131,1.6427,True,True,2,0,,,
IMG_2270.jpg,ok,001-s0,bar-cascade-001,"Apple Studio Display, TrueTone on, brightness 75%, dark room with warm lamp; framing estimated from image",normal_room,60,fills_frame,screen,none,screen,5712x4284x3,bar-cascade-001,0.2934,bar-cascade-001,not_recognised,0.2934,1.0,0.2934,0.7997,0.0,0.3004,0.0,0.0,0.0,,21.104,1.1122,0.7771,0.6409,0.8991,1.2868,1.5602,True,False,2,0,,,
IMG_2271.jpg,ok,001-s0,bar-cascade-001,"Apple Studio Display, TrueTone on, brightness 25%, dark room with warm lamp; framing estimated from image",normal_room,0,fills_frame,screen,none,screen,5712x4284x3,bar-cascade-001,0.2281,bar-cascade-001,not_recognised,0.2281,1.0,0.2281,0.0,0.0,0.8027,0.0,0.0,0.0,,8.747,0.9743,0.7839,0.5769,1.0263,1.2757,1.7335,False,False,2,0,,,
IMG_2272.jpg,ok,001-s0,bar-cascade-001,"Apple Studio Display, TrueTone on, brightness 25%, dark room with warm lamp; framing estimated from image",normal_room,30,fills_frame,screen,none,screen,5712x4284x3,bar-cascade-001,0.0,bar-cascade-001,not_recognised,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,12.297,1.0951,1.0499,0.5977,0.9132,0.9525,1.6731,False,False,2,0,,,
